Episode_ID,Start_Time,End_Time,Total_Steps,Cumulative_Reward,Average_Reward,Max_Reward,Min_Reward,Solved,Checkpoint_Saved,Goal_Scored,Notes
26,1742504493.2981122,1742504498.0023627,823,9109.13803550564,11.068211464769917,9012.654696617961,-9.950617283952813,0,No,1,
27,1742504498.0031865,1742504502.9680133,816,8490.794518078985,10.405385438822286,9002.42370594681,-9.950617283952813,0,No,1,
28,1742504502.9688616,1742504508.6535034,883,-1676.6821128004417,-1.8988472398646,0.616049904692687,-999.4335422725313,0,No,0,
29,1742504508.654857,1742504513.6981003,833,12971.314359366614,15.571805953621386,9275.510870221056,-9.950617283952813,0,No,1,
30,1742504513.698821,1742504521.5428889,1280,-11119.55902092853,-8.687155485100414,1.2787314543648327,-1099.8892334578331,0,No,0,
31,1742504521.5437338,1742504528.1009521,1089,-7873.06938566506,-7.229632126414196,8933.871089601662,-98.49789884970026,0,No,1,
32,1742504528.101697,1742504555.8301268,5000,-466653.0864197316,-93.33061728394632,-9.950617283952813,-109.95061728395281,0,No,0,
33,1742504555.8310165,1742504561.412756,818,-1707.6819682504333,-2.0876307680323145,0.387586705240744,-999.6633691580678,0,No,0,
34,1742504561.4136372,1742504566.3493226,793,8874.125701636282,11.190574655279043,9004.821399348384,-9.950617283952813,0,No,1,
35,1742504566.350164,1742504571.3220637,771,8876.81333419551,11.513376568346967,9004.991727303977,-9.950617283952813,0,No,1,
36,1742504571.322852,1742504576.3968394,773,9222.448709577986,11.930722780825338,9012.22973089243,-9.950617283952813,0,No,1,
37,1742504576.3976917,1742504593.315327,2996,-114900.85073715875,-38.35141880412508,1.303692442886672,-1099.9286391841226,0,No,0,
38,1742504593.3163946,1742504606.206223,2219,-17393.699190206145,-7.838530504824761,0.04941331760241807,-999.9657377726212,0,No,0,
39,1742504606.2070768,1742504633.4150596,5000,-73353.08641976604,-14.670617283953208,-9.950617283952813,-109.95061728395281,0,No,0,
40,1742504633.4161298,1742504639.1146815,791,12233.210565537593,15.4655000828541,9237.8873508149,-9.950617283952813,0,No,1,
41,1742504639.1155727,1742504644.2389278,857,8821.961912067705,10.294004564839796,9003.37775313195,-9.950617283952813,0,No,1,
42,1742504644.2397573,1742504648.8298166,802,8664.717585856211,10.803887264159865,9002.92112538402,-9.950617283952813,0,No,1,
43,1742504648.8307118,1742504653.797638,796,9288.389005663457,11.668830409124947,9012.919882693233,-9.950617283952813,0,No,1,
44,1742504653.7983449,1742504658.953049,864,9663.010626529009,11.184040077001168,9021.955058054378,-9.950617283952813,0,No,1,
45,1742504658.9539406,1742504668.5013463,1659,-7309.035891047797,-4.405687698039661,0.25256063945752977,-999.7970442006726,0,No,0,
46,1742504668.5023177,1742504674.5957074,1039,-6189.709919690024,-5.9573723962367895,0.05061102248394272,-999.9603838945255,0,No,0,
47,1742504674.5965598,1742504688.9566417,2240,-17864.247189630136,-7.975110352513454,0.049371762327537705,-999.9700766916995,0,No,0,
48,1742504688.957591,1742504700.2984817,1602,-9365.918577994249,-5.846391122343476,0.12225416963821432,-999.8972623306068,0,No,0,
49,1742504700.2993045,1742504706.2189233,801,8716.028858741205,10.881434280575787,9002.583645718774,-9.950617283952813,0,No,1,
50,1742504706.219659,1742504741.3990111,4207,839.2592563440195,0.19949114721749928,2.9648562536946312,-999.9475794074666,0,No,0,
51,1742504741.400246,1742504747.8270314,790,9366.486669290134,11.856312239607766,9015.468751964527,-9.950617283952813,0,No,1,
52,1742504747.8278325,1742504752.9840283,796,8700.807464629033,10.930662644006324,9002.846029727576,-9.950617283952813,0,No,1,
53,1742504752.9850328,1742504757.6374989,779,8783.788722282237,11.275723648629317,9002.943982172,-9.950617283952813,0,No,1,
54,1742504757.6383588,1742504772.1956298,2462,-15754.44632412079,-6.399043998424366,0.1389256634162565,-999.8914576294359,0,No,0,
55,1742504772.1965253,1742504776.6070237,758,15471.102275453402,20.410425165505806,9719.763390157077,-9.950617283952813,0,No,1,
56,1742504776.6080015,1742504784.3331046,1127,-4913.752515987113,-4.360028851807554,0.0698518842956577,-999.9359315279312,0,No,0,
57,1742504784.3340096,1742504828.8486276,5000,-49753.08641976656,-9.950617283953312,-9.950617283952813,-9.950617283952813,0,No,0,
58,1742504828.849736,1742504874.0802233,5000,-49753.08641976656,-9.950617283953312,-9.950617283952813,-9.950617283952813,0,No,0,
59,1742504874.081023,1742504919.1860833,5000,-49753.08641976656,-9.950617283953312,-9.950617283952813,-9.950617283952813,0,No,0,
60,1742504919.1870039,1742504938.676374,1858,10775.0871073983,5.799293383960333,9014.903901361657,-9.950617283952813,0,No,1,
61,1742504938.6773884,1742504974.7913778,3922,-31746.145250974987,-8.09437665756629,0.04928076348680919,-999.9873257096873,0,No,0,
62,1742504974.7924263,1742504983.8681924,927,9068.97160093688,9.783140885584553,9005.701858410746,-9.950617283952813,0,No,1,
63,1742504983.8694873,1742505023.327728,4260,-7526.280709604325,-1.7667325609399824,9003.265238529148,-9.950617283952813,0,No,1,
64,1742505023.3288734,1742505031.325861,888,8854.72949378348,9.971542222729143,9003.84641357189,-9.950617283952813,0,No,1,
65,1742505031.3266308,1742505037.8568103,724,-1413.4751505439008,-1.9523137438451668,0.8212103189117009,-999.230055858731,0,No,0,
66,1742505037.857773,1742505051.301169,1441,-1329.1492292073044,-0.9223797565630149,0.7749341626007075,-999.955034117152,0,No,0,
67,1742505051.302276,1742505059.7749963,1188,-7399.017042201379,-6.228128823401834,0.05614757906673165,-999.9512246200892,0,No,0,
68,1742505059.775929,1742505072.1224272,1679,-5864.5578820365745,-3.4928873627376857,0.14998507864928773,-999.8895373420233,0,No,0,
69,1742505072.1236422,1742505081.273422,1256,-5512.146257073819,-4.3886514785619575,1.1456782225992623,-998.9065914696121,0,No,0,
70,1742505081.2747471,1742505127.810017,5000,-49753.08641976656,-9.950617283953312,-9.950617283952813,-9.950617283952813,0,No,0,
71,1742505127.8113286,1742505139.6880696,1183,10173.769642243831,8.599974338329528,9003.76580238027,-9.950617283952813,0,No,1,
72,1742505139.68935,1742505177.1709049,4068,-589.9573463248648,-0.14502392977504053,1.1247632848724143,-999.9450441898879,0,No,0,
73,1742505177.1723466,1742505222.3767128,5000,-32693.53880739216,-6.538707761478432,0.16223702105216783,-9.950617283952813,0,No,0,
74,1742505222.3775647,1742505232.967519,1052,-6541.055135499651,-6.217733018535791,0.049416359029030146,-999.9661999840881,0,No,0,
75,1742505232.9694252,1742505241.04195,874,10850.758037354342,12.41505496264799,9069.817984814532,-9.950617283952813,0,No,1,
76,1742505241.0427053,1742505254.24838,1455,-7308.446543717007,-5.022987315269421,0.049291703561808196,-999.9887800923759,0,No,0,
77,1742505254.2500744,1742505264.9594078,1171,-6770.981048925754,-5.782221220261105,0.07686719903861818,-999.9291970417624,0,No,0,
78,1742505264.9607463,1742505305.2140684,4405,-36054.29385045141,-8.184856719739253,0.04929676144161394,-999.9877994069479,0,No,0,
79,1742505305.2159379,1742505350.1572707,5000,-49753.08641976656,-9.950617283953312,-9.950617283952813,-9.950617283952813,0,No,0,
80,1742505350.1590781,1742505396.0351002,5000,-49753.08641976656,-9.950617283953312,-9.950617283952813,-9.950617283952813,0,No,0,
81,1742505396.0359588,1742505407.632405,963,9329.832450704693,9.688299533442049,9009.53123277423,-9.950617283952813,0,No,1,
82,1742505407.6333973,1742505449.7064183,5000,427.46476060391876,0.08549295212078376,0.6195854484448226,-9.950617283952813,0,No,0,
83,1742505449.70731,1742505458.4587033,824,-1523.744718894684,-1.8492047559401503,0.3418994264091599,-999.7081156622812,0,No,0,
84,1742505458.4601612,1742505466.2312124,859,9610.943223077356,11.188525288797853,9019.454012051532,-9.950617283952813,0,No,1,
85,1742505466.2323987,1742505487.2621555,2298,955.26673531154,0.41569483695019144,6.513598015395815,-999.9200996626436,0,No,0,
86,1742505487.263199,1742505494.2625525,756,9561.355725188045,12.647295932788419,9021.054727769028,-9.950617283952813,0,No,1,
87,1742505494.2635555,1742505509.3464265,1634,-1333.9013951790776,-0.8163411231206105,0.4190546360877592,-999.6305107909418,0,No,0,
88,1742505509.3473897,1742505516.4258442,770,9154.019870890153,11.888337494662537,9009.332960105017,-9.950617283952813,0,No,1,
89,1742505516.427146,1742505523.6391404,774,9590.145450286585,12.390368798819878,9022.630057688812,-9.950617283952813,0,No,1,
90,1742505523.6434512,1742505532.291993,921,8925.030877692723,9.690587272196225,9003.300095142402,-9.950617283952813,0,No,1,
91,1742505532.2938054,1742505539.1848369,746,8921.301670608322,11.958849424407939,9004.073326479025,-9.950617283952813,0,No,1,
92,1742505539.1876683,1742505546.2795787,761,22306.028115599885,29.31146927148474,11186.085539324307,-9.950617283952813,0,No,1,
93,1742505546.280318,1742505553.7027502,762,9671.396095301869,12.692120859976205,9024.62222196042,-9.950617283952813,0,No,1,
94,1742505553.7037146,1742505560.2584188,716,9430.077281619224,13.170498996674894,9018.14857671637,-9.950617283952813,0,No,1,
95,1742505560.2593577,1742505567.0574813,750,10211.965492422918,13.615953989897225,9050.681570977962,-9.950617283952813,0,No,1,
96,1742505567.058321,1742505573.8282359,753,8982.168721839636,11.928510918777738,9005.087687873558,-9.950617283952813,0,No,1,
97,1742505573.8293839,1742505580.5013027,723,8737.330591484546,12.084827927364516,8903.01093297366,-9.950617283952813,0,No,1,
98,1742505580.502239,1742505587.7311475,773,9267.457755027768,11.988949230307592,9011.483851893145,-9.950617283952813,0,No,1,
99,1742505587.7330892,1742505594.38483,758,255218.2943007336,336.6995967028148,172830.45280674964,-9.950617283952813,0,No,1,
100,1742505594.399193,1742505601.301196,716,9430.07728161902,13.17049899667461,9018.14857671636,-9.950617283952813,0,Yes,1,
101,1742505601.301956,1742505607.7182705,735,9259.93794278593,12.598555024198543,9011.845483356403,-9.950617283952813,0,No,1,
102,1742505607.7221706,1742505614.0802536,716,9430.077281619202,13.170498996674864,9018.148576716365,-9.950617283952813,0,No,1,
103,1742505614.0809524,1742505621.1946032,758,255218.29430020374,336.69959670211574,172830.4528062392,-9.950617283952813,0,No,1,
104,1742505621.1954775,1742505627.777079,735,9259.937942785851,12.598555024198436,9011.845483356401,-9.950617283952813,0,No,1,
105,1742505627.7779312,1742505634.561597,735,9259.93794278604,12.598555024198694,9011.845483356406,-9.950617283952813,0,No,1,
106,1742505634.5633025,1742505641.629303,758,255218.29430082737,336.6995967029385,172830.45280683629,-9.950617283952813,0,No,1,
107,1742505641.6305146,1742505648.5530498,735,9259.93794278604,12.598555024198694,9011.845483356405,-9.950617283952813,0,No,1,
108,1742505648.5538611,1742505655.1876564,735,9259.937942785911,12.598555024198518,9011.845483356403,-9.950617283952813,0,No,1,
109,1742505655.1885376,1742505661.8201058,735,9259.937942785986,12.59855502419862,9011.845483356405,-9.950617283952813,0,No,1,
110,1742505661.820851,1742505669.1643689,758,255218.2943006894,336.6995967027565,172830.45280670878,-9.950617283952813,0,No,1,
111,1742505669.165378,1742505676.1594193,758,255218.29430055164,336.69959670257475,172830.45280656058,-9.950617283952813,0,No,1,
112,1742505676.161186,1742505682.5408974,716,9430.077281619428,13.170498996675178,9018.148576716374,-9.950617283952813,0,No,1,
113,1742505682.5421417,1742505690.5236616,758,255218.2943003996,336.69959670237415,172830.45280644106,-9.950617283952813,0,No,1,
114,1742505690.5253382,1742505697.7414095,758,255218.29430183207,336.6995967042639,172830.45280797363,-9.950617283952813,0,No,1,
115,1742505697.7422907,1742505704.9607358,758,255218.29430067714,336.6995967027403,172830.4528066975,-9.950617283952813,0,No,1,
116,1742505704.9641256,1742505712.1901941,758,255218.29430229487,336.6995967048745,172830.4528084012,-9.950617283952813,0,No,1,
117,1742505712.191107,1742505718.8829677,735,9259.937942785931,12.598555024198546,9011.845483356403,-9.950617283952813,0,No,1,
118,1742505718.8846214,1742505725.5884545,735,9259.937942786011,12.598555024198655,9011.845483356403,-9.950617283952813,0,No,1,
119,1742505725.5899498,1742505732.2841756,735,9259.93794278607,12.598555024198735,9011.845483356405,-9.950617283952813,0,No,1,
120,1742505732.285445,1742505739.7816381,758,255218.29430048057,336.69959670248096,172830.45280649496,-9.950617283952813,0,No,1,
121,1742505739.782358,1742505747.655545,879,-5533.161385537498,-6.294836616083615,2.1078365501608762,-1099.6488232458269,0,No,0,
122,1742505747.656832,1742505754.5755832,735,9259.937942785968,12.598555024198596,9011.845483356401,-9.950617283952813,0,No,1,
123,1742505754.5766912,1742505762.346413,784,9199.02621433463,11.733451803998252,9002.704211153448,-9.950617283952813,0,No,1,
124,1742505762.350098,1742505770.5522435,758,255218.29430154632,336.699596703887,172830.45280770963,-9.950617283952813,0,No,1,
125,1742505770.5533922,1742505778.5540469,758,255218.29430005676,336.69959670192185,172830.4528061034,-9.950617283952813,0,No,1,
126,1742505778.555304,1742505790.8290665,1156,-37363.18698106729,-32.32109600438346,1.8120091225906931,-1099.902232786069,0,No,0,
127,1742505790.8305762,1742505798.1332939,758,255218.29429999925,336.69959670184596,172830.45280607117,-9.950617283952813,0,No,1,
128,1742505798.1341035,1742505805.1096594,758,255218.29430048866,336.69959670249165,172830.4528064606,-9.950617283952813,0,No,1,
129,1742505805.1107323,1742505811.954943,758,255218.29430027172,336.69959670220544,172830.452806302,-9.950617283952813,0,No,1,
130,1742505811.9561234,1742505819.0409763,735,9259.937942785898,12.598555024198502,9011.845483356401,-9.950617283952813,0,No,1,
131,1742505819.0431702,1742505826.775791,758,255218.29430041384,336.6995967023929,172830.4528063915,-9.950617283952813,0,No,1,
132,1742505826.7768042,1742505834.2870266,758,255218.29430086247,336.69959670298476,172830.45280686868,-9.950617283952813,0,No,1,
133,1742505834.28882,1742505841.2074165,778,10125.369417062173,13.014613646609476,9027.129130585057,-9.950617283952813,0,No,1,
134,1742505841.2082944,1742505848.7735791,758,255218.29430082237,336.6995967029319,172830.45280681073,-9.950617283952813,0,No,1,
135,1742505848.7748024,1742505855.801374,735,9259.93794278599,12.598555024198625,9011.845483356405,-9.950617283952813,0,No,1,
136,1742505855.8022249,1742505865.3177493,758,255218.29430069285,336.699596702761,172830.45280664926,-9.950617283952813,0,No,1,
137,1742505865.3186798,1742505878.6449723,1025,-20125.6860858346,-19.63481569349717,1.7230260519380494,-1099.8894165167737,0,No,0,
138,1742505878.645901,1742505888.1928449,735,9259.937942786004,12.598555024198644,9011.845483356403,-9.950617283952813,0,No,1,
139,1742505888.1943092,1742505897.6524794,771,9260.44967079856,12.010959365497484,9005.606609877776,-9.950617283952813,0,No,1,
140,1742505897.6536207,1742505908.9250495,1215,-1082.6136357102116,-0.8910400293911207,1.9492043032199273,-999.9006482321973,0,No,0,
141,1742505908.9260013,1742505943.072942,3502,-270964.83061983704,-77.37430914330012,4.118818590716005,-1099.9819024420385,0,No,0,
142,1742505943.0751293,1742505949.948229,761,9536.93876331943,12.532114012246293,9014.504912629074,-9.950617283952813,0,No,1,
143,1742505949.9490228,1742505957.1275382,754,12144.501659696754,16.10676612691877,9261.34192693362,-9.950617283952813,0,No,1,
144,1742505957.128595,1742505964.2155666,735,9259.937942785944,12.598555024198562,9011.845483356403,-9.950617283952813,0,No,1,
145,1742505964.2169824,1742505971.0904975,735,9259.937942785946,12.598555024198566,9011.845483356403,-9.950617283952813,0,No,1,
146,1742505971.0915115,1742505983.028457,1336,-1142.3516776163558,-0.8550536509104459,1.7230260519380982,-999.9475073981791,0,No,0,
147,1742505983.0293698,1742505990.096634,735,9259.937942785931,12.598555024198546,9011.845483356403,-9.950617283952813,0,No,1,
148,1742505990.0983205,1742505996.7311637,758,255218.29430049137,336.6995967024952,172830.4528065049,-9.950617283952813,0,No,1,
149,1742505996.7321532,1742506003.5124547,758,255218.29430141565,336.6995967037146,172830.4528075889,-9.950617283952813,0,No,1,
150,1742506003.5134141,1742506010.5428393,735,9259.937942786066,12.59855502419873,9011.845483356405,-9.950617283952813,0,No,1,
151,1742506010.5439093,1742506017.561838,735,9259.93794278591,12.598555024198516,9011.845483356403,-9.950617283952813,0,No,1,
152,1742506017.5627701,1742506033.8661854,1795,-90703.20757438114,-50.53103486037947,38.09810035687153,-1099.889927302705,0,No,0,
153,1742506033.86797,1742506040.587131,735,9259.93794278604,12.598555024198694,9011.845483356406,-9.950617283952813,0,No,1,
154,1742506040.5880904,1742506047.2723782,735,9259.937942785997,12.598555024198635,9011.845483356403,-9.950617283952813,0,No,1,
155,1742506047.2730815,1742506056.4845934,937,-10345.157479719472,-11.04072303065045,2.049277798090666,-1099.8896527584052,0,No,0,
156,1742506056.4857028,1742506065.766645,996,-20933.527756730233,-21.017598149327544,2.1800445443265564,-1099.778905861769,0,No,0,
157,1742506065.767548,1742506074.428125,955,-1120.4877712710368,-1.1732856243675778,2.1737988297266706,-999.8907858708004,0,No,0,
158,1742506074.4292133,1742506081.1529074,735,9259.937942785955,12.598555024198578,9011.845483356401,-9.950617283952813,0,No,1,
159,1742506081.1537652,1742506090.3899655,1019,-21624.609170710202,-21.22140252277743,2.063286891975143,-1099.7790885625677,0,No,0,
160,1742506090.391417,1742506097.3097844,770,-1078.185009733096,-1.4002402723806442,3.0822664246222837,-999.2353473106223,0,No,0,
161,1742506097.3107607,1742506106.9095247,985,-17811.196309642055,-18.08243280166706,2.3105085799757017,-1099.8952492248525,0,No,0,
162,1742506106.9113245,1742506115.4905603,965,-10362.670355137,-10.738518502732642,2.3592726746254926,-1099.8912590001885,0,No,0,
163,1742506115.4928205,1742506127.3334203,1331,-54690.77372866179,-41.08998777510278,5.254606743691814,-1099.9207936195503,0,No,0,
164,1742506127.3350213,1742506136.6130345,1015,-1131.9038872498102,-1.115176243595872,2.0562138431818444,-999.8893121714076,0,No,0,
165,1742506136.6140227,1742506147.4690642,1105,-30977.136951642216,-28.03360810103368,4.977273289106492,-1099.8908645260058,0,No,0,
166,1742506147.4703693,1742506154.8376527,735,9259.937942785957,12.59855502419858,9011.845483356401,-9.950617283952813,0,No,1,
167,1742506154.83885,1742506162.1862056,782,9323.547267039812,11.92269471488467,9004.48164741775,-9.950617283952813,0,No,1,
168,1742506162.187247,1742506170.5323718,892,-7668.245199386731,-8.596687443258666,2.2659975285174294,-1099.8895232862312,0,No,0,
169,1742506170.5338986,1742506177.7375984,759,9911.98736816103,13.059271894810315,9032.125939269066,-9.950617283952813,0,No,1,
170,1742506177.7385535,1742506185.1729057,829,-1117.5377902436364,-1.3480552355170523,2.593651299590917,-999.7024708794257,0,No,0,
171,1742506185.1762493,1742506192.5606742,735,9259.93794278586,12.598555024198449,9011.845483356401,-9.950617283952813,0,No,1,
172,1742506192.5615587,1742506203.2582107,1111,-31469.646104377098,-28.325514045343922,2.059388965386912,-1099.9223659881557,0,No,0,
173,1742506203.2597003,1742506209.8433197,735,9259.937942785991,12.598555024198628,9011.845483356405,-9.950617283952813,0,No,1,
174,1742506209.8445282,1742506216.5235407,735,9259.937942786042,12.598555024198697,9011.845483356406,-9.950617283952813,0,No,1,
175,1742506216.5252483,1742506223.9019606,758,255218.29430064166,336.6995967026935,172830.45280664376,-9.950617283952813,0,No,1,
176,1742506223.9035726,1742506231.155933,785,9215.260178408302,11.739184940647519,9003.847875373021,-9.950617283952813,0,No,1,
177,1742506231.157303,1742506238.507114,769,25254.48542229242,32.84068325395633,12188.41035161987,-9.950617283952813,0,No,1,
178,1742506238.5081131,1742506245.5079598,758,255218.2943003852,336.69959670235517,172830.452806365,-9.950617283952813,0,No,1,
179,1742506245.516285,1742506252.4528353,759,9505.618992036349,12.523872189771211,9013.381971655632,-9.950617283952813,0,No,1,
180,1742506252.4537525,1742506259.432564,735,9259.937942785984,12.598555024198618,9011.845483356405,-9.950617283952813,0,No,1,
181,1742506259.433568,1742506266.9676282,832,-1096.3264006142329,-1.3177000007382607,2.308261873016592,-999.400498406185,0,No,0,
182,1742506266.9684503,1742506273.6042497,735,9259.937942786035,12.598555024198687,9011.845483356403,-9.950617283952813,0,No,1,
183,1742506273.6053822,1742506280.2099464,735,9259.937942785917,12.598555024198527,9011.8454833564,-9.950617283952813,0,No,1,
184,1742506280.210992,1742506288.587182,822,9483.962632221326,11.537667435792368,9002.961287463446,-9.950617283952813,0,No,1,
185,1742506288.5886025,1742506295.3750365,758,255218.29430171868,336.69959670411436,172830.45280786886,-9.950617283952813,0,No,1,
186,1742506295.3757772,1742506302.3886983,758,255218.2943012156,336.69959670345065,172830.452807174,-9.950617283952813,0,No,1,
187,1742506302.3897512,1742506309.2059152,758,255218.29430080077,336.6995967029034,172830.45280681172,-9.950617283952813,0,No,1,
188,1742506309.206673,1742506316.4025002,758,255218.29430080848,336.6995967029136,172830.45280681882,-9.950617283952813,0,No,1,
189,1742506316.4034195,1742506326.7676058,1141,-34197.29920645945,-29.971340233531507,1.7836057297547079,-1099.9292189999633,0,No,0,
190,1742506326.7686074,1742506337.6103475,1134,-35059.66832825387,-30.91681510428031,1.7836057297546957,-1099.9082508432327,0,No,0,
191,1742506337.6118028,1742506344.8400285,780,9249.251763123002,11.858015080926926,9004.480719465773,-9.950617283952813,0,No,1,
192,1742506344.841251,1742506352.1882272,801,9597.21781710498,11.981545339706592,9011.209129178751,-9.950617283952813,0,No,1,
193,1742506352.1895976,1742506359.1508186,735,9259.93794278599,12.598555024198625,9011.845483356403,-9.950617283952813,0,No,1,
194,1742506359.1517062,1742506366.1929395,768,9301.989917586292,12.111966038523818,9007.41950738274,-9.950617283952813,0,No,1,
195,1742506366.1938722,1742506376.251969,1082,-26879.97852319835,-24.842863699813634,1.693848128521936,-1099.9021781214267,0,No,0,
